id_funcionario;id_unidade;nome;cargo;departamento;salario;data_admissao
1;1;Gabriela Lima;Auxiliar de Limpeza;Governança;2139.0;2020-10-05
2;1;Abel Correia;Segurança;Segurança;1746.0;2021-12-29
3;1;Sara Teixeira;Analista Financeiro;Financeiro;5356.0;2022-03-01
4;1;Julia Monteiro;Auxiliar de Limpeza;Governança;2070.0;2019-06-10
5;1;Daniela Ramos;Auxiliar de Limpeza;Governança;1572.0;2018-10-16
6;1;Lucas Souza;Auxiliar de Limpeza;Governança;1955.0;2024-02-01
7;1;Wilson Duarte;Recepcionista;Recepção;1906.0;2023-03-24
8;1;Nicolas Cunha;Recepcionista;Recepção;2417.0;2019-07-02
9;1;Bruno Costa;Auxiliar de Limpeza;Governança;;2021-11-02
10;1;Bruno Costa;Manutenção;Manutenção;2314.0;2022-11-28
11;1;Gabriela Lima;Camareira;Governança;1950.0;2020-12-11
12;1;Zara Moraes;Manutenção;Manutenção;1880.0;2022-05-21
13;1;Roberta Leite;Manutenção;Manutenção;1882.0;2023-11-15
14;1;Yuri Castro;Analista Financeiro;Financeiro;;2022-12-31
15;1;Fernanda Cruz;Camareira;Governança;1944.0;2023-11-07
16;2;Nicolas Cunha;Cozinheiro;Alimentos e Bebidas;3208.0;2024-02-01
17;2;Ivan Azevedo;Manutenção;Manutenção;2377.0;2024-09-28
18;2;Larissa Sousa;Cozinheiro;Alimentos e Bebidas;2647.0;2024-01-21
19;2;Karen Alves;Manutenção ;Manutenção;2377.0;2018-11-09
20;2;Yuri Castro;Segurança;Segurança;2473.0;2024-01-15
21;2;Diego Ferreira;Segurança;Segurança;1800.0;2018-03-29
22;2;Ximena Godoi;Analista Financeiro;Financeiro;5534.0;2019-06-02
23;2;Wesley Araujo;Cozinheiro;Alimentos e Bebidas;3066.0;2020-08-28
24;3;Paulo Ribeiro;Manutenção;Manutenção;2530.0;2023-03-11
25;3;Ursula Pinto;Analista Financeiro;Financeiro;5569.0;2020-11-18
26;3;Gabriela Lima;Manutenção;Manutenção;2300.0;2019-03-05
27;3;Gabriela Lima;Analista Financeiro;Financeiro;5226.0;2021-04-13
