id_cliente;nome;cidade_origem;estado_origem;faixa_etaria;tipo_cliente
1;OtavioReis;São Paulo;SP;18-25;Corporativo
2;LarissaSousa;Curitiba;SC;18-25;Pessoa Física
3;TatianaCoelho;Rio de Janeiro;CE;65+;Corporativo
4;WilsonDuarte;Brasília;AM;26-35;Corporativo
5;GabrielaLima;Rio de Janeiro;SP;46-55;Pessoa Física
6;UlissesBrito;Brasília;RS;56-65;Pessoa Física
7;KleberPires;São Paulo;ES;65+;Pessoa Física
8;OliviaFreitas;Brasília;PA;18-25;Corporativo
9;WesleyAraujo;Belo Horizonte;ES;;Corporativo
10;IvanAzevedo;Curitiba;PE;26-35;Pessoa Física
11;RobertaLeite;São Paulo;PR;18-25;Pessoa Física
12;NicolasCunha;Fortaleza;DF;65+;Corporativo
13;JoãoPereira;Recife;BA;26-35;Pessoa Física
14;LarissaSousa;Rio de Janeiro;SC;36-45;Pessoa Física
15;HenriqueRocha;Recife;MG;;Pessoa Física
16;MarcosAndrade;São Paulo;RS;;Corporativo
17;RobertaLeite;Salvador;GO;36-45;Corporativo
18;GustavoVieira;Curitiba;AM;26-35;Pessoa Física
19;JoãoPereira;Brasília;PR;26-35;Pessoa Física
20;ThiagoMatos;Fortaleza;ES;;Pessoa Física
21;ElenaSantos;Salvador;AM;56-65;Pessoa Física
22;HelenaBorges;Curitiba;PA;56-65;Corporativo
23;TatianaCoelho;Curitiba;BA;46-55;Corporativo
24;ElenaSantos;Rio de Janeiro;PR;18-25;Pessoa Física
25;OliviaFreitas;Curitiba;SP;18-25;Corporativo
26;IvanAzevedo;São Paulo;MG;65+;Corporativo
27;GabrielaLima;São Paulo;CE;46-55;Corporativo
28;DiegoFerreira;Fortaleza;SC;65+;Corporativo
29;IsabelaMartins;São Paulo;SC;;Corporativo
30;DiegoFerreira;Belo Horizonte;CE;56-65;Pessoa Física
31;AbelCorreia;Rio de Janeiro;RS;46-55;Pessoa Física
32;YuriCastro;Fortaleza;BA;46-55;Corporativo
33;JoãoPereira;Brasília;ES;36-45;Pessoa Física
34;DiegoFerreira;São Paulo;RJ;56-65;Corporativo
35;LucasSouza;Curitiba;SP;56-65;Pessoa Física
36;LarissaSousa;Salvador;DF;18-25;Pessoa Física
37;NicolasCunha;Salvador;CE;65+;Corporativo
38;DanielaRamos;São Paulo;PR;18-25;Pessoa Física
39;IvanAzevedo;Curitiba;ES;;Corporativo
40;XuxaFarias;Rio de Janeiro;BA;26-35;Corporativo
41;QuincyBraga;Salvador;PA;56-65;Corporativo
42;HenriqueRocha;Curitiba;SP;65+;Pessoa Física
43;RobertaLeite;Recife;CE;;Corporativo
44;RafaelCardoso;Fortaleza;RJ;18-25;Corporativo
45;JuliaMonteiro;Belo Horizonte;PE;46-55;Pessoa Física
46;IvanAzevedo;Rio de Janeiro;RJ;36-45;Pessoa Física
47;WesleyAraujo;Recife;ES;65+;Pessoa Física
48;NataliaCampos;Recife;PE;26-35;Pessoa Física
49;BrunoCosta;Curitiba;MG;65+;Corporativo
50;RafaelCardoso;Curitiba;MG;65+;Pessoa Física
51;DanielaRamos;Salvador;PR;36-45;Pessoa Física
52;ElenaSantos;Brasília;AM;36-45;Corporativo
53;BrunoCosta;Recife;SP;;Pessoa Física
54;WesleyAraujo;Curitiba;PE;36-45;Corporativo
55;QueziaNunes;Curitiba;RJ;65+;Corporativo
56;XuxaFarias;Salvador;SC;18-25;Corporativo
57;GustavoVieira;Curitiba;BA;65+;Corporativo
58;AbelCorreia;Rio de Janeiro;CE;46-55;Pessoa Física
59;ThiagoMatos;Fortaleza;BA;26-35;Corporativo
60;CarlosNeto;São Paulo;CE;26-35;Corporativo
61;SaraTeixeira;Salvador;GO;65+;Corporativo
62;OliviaFreitas;São Paulo;AM;26-35;Pessoa Física
63;DanielaRamos;Belo Horizonte;SC;65+;Pessoa Física
64;PatriciaVaz;Fortaleza;PE;18-25;Pessoa Física
65;DiegoFerreira;Brasília;GO;26-35;Pessoa Física
66;WilsonDuarte;Fortaleza;RS;56-65;Corporativo
67;CarlosNeto;Salvador;BA;26-35;Corporativo
68;CarlosNeto;São Paulo;SP;65+;Corporativo
69;IsabelaMartins;Recife;MG;;Corporativo
70;VictorGomes;Rio de Janeiro;GO;46-55;Corporativo
71;WilsonDuarte;Recife;DF;46-55;Corporativo
72;IvanAzevedo;Recife;PE;65+;Pessoa Física
73;VictorGomes;Rio de Janeiro;CE;65+;Corporativo
74;ZaraMoraes;Belo Horizonte;DF;56-65;Pessoa Física
75;DiegoFerreira;Recife;BA;46-55;Corporativo
76;RafaelCardoso;Rio de Janeiro;AM;46-55;Corporativo
77;WesleyAraujo;Curitiba;ES;65+;Pessoa Física
78;MarinaBarbosa;Curitiba;PA;18-25;Pessoa Física
79;DanielaRamos;São Paulo;PE;36-45;Corporativo
80;XimenaGodoi;Recife;PA;26-35;Corporativo
81;ZaraMoraes;Salvador;PE;26-35;Pessoa Física
82;RobertaLeite;Brasília;DF;18-25;Pessoa Física
